Year,Player,School
1985,Ed Pinckney,Villanova
1986,Pervis Ellison,Louisville
1987,Keith Smart,Indiana
1988,Danny Manning,Kansas
1989,Glen Rice,Michigan
1990,Anderson Hunt,Nevada
1991,Christian Laettner,Duke
1992,Bobby Hurley,Duke
1993,Donald Williams,North Carolina
1994,Corliss Williamson,Arkansas
1995,Ed O'Bannon,UCLA
1996,Tony Delk,Kentucky
1997,Miles Simon,Arizona
1998,Jeffrey Sheppard,Kentucky
1999,Richard Hamilton,Connecticut
2000,Mateen Cleaves,Michigan State
2001,Shane Battier,Duke
2002,Juan Dixon,Maryland
2003,Carmelo Anthony,Syracuse
2004,Emeka Okafor,Connecticut
2005,Sean May,North Carolina
2006,Joakim Noah,Florida
2007,Corey Brewer,Florida
2008,Mario Chalmers,Kansas
2009,Wayne Ellington,North Carolina
2010,Kyle Singler,Duke
2011,Kemba Walker,Connecticut
2012,Anthony Davis,Kentucky
2013,Luke Hancock,Louisville
2014,Shabazz Napier,Connecticut
2015,Tyus Jones,Duke
2016,Ryan Arcidiacono,Villanova
2017,Joel Berry,North Carolina
2018,Donte DiVincenzo,Villanova
2019,Kyle Guy,Villanova